id,name,similarity_score
42,Злоупотребление системами аутентификации пользователей,0.3552364917820795
5,XSS (Cross-site Scripting),0.34439177680821165
41,Отсутствие многофакторной аутентификации,0.31307479614591205
90,Злоупотребление корпоративными ресурсами сотрудниками,0.2961400166738873
15,Недостаточная защита доступа к облачным хранилищам,0.26748313055379525
13,Использование слабых паролей и их утечка,0.2649715822868596
35,"Сетевые атаки через удалённый доступ (VPN, RDP)",0.2537099785642867
8,Сниффинг (перехват сетевого трафика),0.23916838734955037
64,Нарушение политики безопасности на уровне поставщиков оборудования,0.22806273716189873
45,Отсутствие тестирования безопасности программного обеспечения,0.21280402046110153
11,Кража и утечка данных с мобильных устройств,0.2111171641563634
21,Необоснованное разглашение конфиденциальной информации,0.20848356292775666
9,"Потери данных (из-за сбоев, удаления или повреждения данных)",0.20587038057504006
47,Утечка информации через несовершенные веб-сервисы,0.2012347821997338
40,Проблемы с защитой и мониторингом облачных сервисов,0.20025521964372234
