object_id,object_name,similarity_score
11,"Информация (данные), содержащаяся в системах и сетях",0.5155712429986494
7,Обеспечивающие системы,0.45219269173231175
4,Устройство хранения данных,0.33374556222085455
1,Автоматизированное рабочее место,0.2529180981445894
10,Мобильное устройство,0.2514147891420692
8,"Телефония (VoIP, GSM)",0.2349118309060506
5,Устройство интернета-вещей,0.22783351689369435
12,Физические линии связи,0.21992639122673133
9,Средства защиты информации,0.20460296517150867
2,Сервер,0.16521946126073242
6,Активное сетевое оборудование,0.0883042541996911
3,Периферийное оборудование,0.0535586501746911
